X,Y,H,CH,CW,GLE,girth10,Species
22.88536399,17.86306822,0.88,30,29,0.982580721,4.49,Sessile
24.03382329,15.61046344,1.24,57,66,0.998729623,6.44,Sessile
25.88398949,13.96264361,2.23,153,167,0.999693998,15.71,Rowan
24.85356496,10.018394,1.78,97,155,0.982987072,15.14,Rowan
26.1115015,8.055034195,0.91,39,58,0.990434211,7.15,Sessile
26.84792093,5.618364439,0.86,35,27,0.999630205,5.73,Sessile
28.43619735,2.349019765,1.2,61,72,0.998793415,8.79,Sessile
24.14643408,57.43793132,0.97,42,56,0.999936207,9.46,Sessile
23.67135447,53.75621844,1.03,36,57,0.971619185,12.55,Sessile
22.98765466,51.08319403,1.51,111,62,0.99980253,17.41,Sessile
23.3648208,47.44182869,1.12,55,69,0.999693998,14.25,Sessile
24.48362795,43.39698797,0.85,20,66,0.998729623,10.76,Sessile
27.08144734,34.73924567,1.1,55,54,0.999693998,11.91,Sessile
26.44348627,32.68471975,1.07,42,52,0.989861965,15.2,Sessile
26.95385513,30.10250192,1.34,71,64,0.9988633,14.08,Sessile
23.15695184,23.86041284,0.84,23,21,0.99980253,4,Sessile
22.64704174,21.16351125,1.04,45,61,0.931774974,7.55,Sessile
21.42787759,19.0551081,1.32,69,58,0.998815013,8.48,Sessile
20.52126042,16.33795837,0.92,36,57,0.99980253,7.04,Sessile
22.03122608,14.63754854,2.09,142,81,0.961127289,16.07,Rowan
21.76177322,10.83353892,1.48,68,67,0.962555509,10.52,Rowan
22.87402617,8.957829105,0.93,40,103,0.985179246,7.14,Sessile
23.34014134,6.968174304,0.95,39,75,0.999693998,6.1,Sessile
23.00147853,4.715569529,1.04,47,77,0.998793415,6.38,Sessile
25.80554693,3.523529648,1.08,48,82,0.998793415,7.2,Sessile
22.95774216,2.366549764,1,32,54,0.977980021,6.54,Sessile
25.99014395,1.165744884,0.96,35,57,0.970479675,6.13,Sessile
23.38259833,0.227889977,0.85,30,58,0.998793415,6.02,Sessile
22.13276862,59.18296235,0.98,40,25,1,9.4,Sessile
21.73653063,56.41915597,0.83,26,42,0.999936207,10.93,Sessile
20.88803072,54.1092594,0.78,18,32,1,7.24,Sessile
20.83536305,51.61779891,1.25,64,58,1,19.01,Sessile
21.23898278,48.98512203,0.96,31,42,0.999630205,12.57,Sessile
22.6986983,45.32358293,0.61,14,13,0.999715595,3.63,Sessile
21.13489455,24.37187426,-0.05,-10,-10,0.99894869,0,Sessile
20.98543814,19.44520658,1,36,40,0.958239613,7.56,Sessile
18.95458928,17.79776266,0.78,21,39,0.961404187,3.52,Sessile
18.58103456,14.48854355,-0.05,-10,-10,0.999607062,0,Sessile
20.60967244,12.9809637,-0.05,-10,-10,0.982987072,2.66,Sessile
20.19947562,9.597674041,0.89,28,54,0.998793415,5.07,Sessile
19.95254273,7.143474286,0.86,30,48,0.999693998,5.76,Sessile
20.20063284,5.066169494,0.91,15,66,0.998793415,7.94,Sessile
20.0048447,2.90121471,1.14,49,89,0.998793415,8.78,Sessile
21.07505556,0.850204915,1.1,41,107,0.998793415,9.97,Sessile
19.60812831,57.28662805,0.78,21,46,0.999936207,11.36,Sessile
18.55220359,54.97673148,1.07,45,58,1,14.41,Sessile
18.99732648,52.09188248,0.86,33,60,0.999866323,10.37,Sessile
19.17329761,49.07590399,1.04,54,69,0.999693998,17.68,Sessile
20.5965717,46.92739758,0.88,41,73,0.990593322,12.34,Sessile
21.02997809,44.1635912,1.06,76,75,0.99980253,21.74,Downy Birch
23.45570194,36.83103105,0.8,25,48,0.998729623,10.95,Sessile
24.30631669,34.4401157,1.65,36,70,0.998729623,17.25,Sessile
24.22125522,31.6170742,0.99,49,36,0.973042895,10.16,Sessile
20.0095757,26.3356919,0.76,18,30,0.9988633,3.07,Sessile
19.42933317,22.45040969,1.28,70,56,0.990452137,6.73,Sessile
18.71721734,19.17786327,0.85,23,44,0.998965741,6.4,Sessile
17.31056879,15.6337223,0.73,11,31,0.999827675,4.46,Sessile
17.83177806,12.30605877,2.13,123,83,0.990572407,15.61,Rowan
18.08568525,8.098859191,0.7,15,31,0.998793415,4.26,Sessile
17.39348966,6.40721436,2.38,152,109,0.998793415,17.95,Rowan
18.04829263,0.964149904,0.96,45,94,0.998793415,8.18,Sessile
17.0459467,57.63966901,0.92,30,33,1,12.7,Sessile
17.31137794,52.71726933,0.92,33,60,0.990612802,11.28,Sessile
18.14601326,46.60461727,1.26,73,100,0.999866323,18.55,Sessile
21.31853236,38.60471514,0.78,20,45,0.998642688,13.21,Sessile
21.43549189,35.18832684,1.45,90,68,0.998642688,19.1,Sessile
21.71194168,32.42363021,0.95,26,37,0.99980253,13.48,Sessile
22.3180047,30.71645887,0.85,23,31,0.9988633,7.47,Sessile
17.0819884,25.49939264,0.94,27,37,0.999693998,4.84,Sessile
17.22265325,21.8132372,0.88,29,42,0.999827675,4.87,Sessile
16.35228946,18.93565046,1.02,42,48,0.9988633,4.61,Sessile
15.01597333,16.44235539,1.07,39,100,0.998793415,8.39,Sessile
16.45525807,14.0327636,1.01,38,77,0.999827675,8.78,Sessile
14.64288194,12.34988377,1.17,68,65,0.998927093,7.27,Rowan
16.22806754,10.15863399,2.42,197,126,0.998729623,15.47,Rowan
16.70201661,4.312379569,2.36,153,138,0.998793415,15.2,Rowan
14.81859881,57.96244931,0.87,28,84,1,11.71,Sessile
15.61879076,55.13812163,1.31,70,72,1,14.79,Sessile
16.69546635,50.03415803,1.12,62,72,0.98922375,17.06,Sessile
16.29263456,47.50235,0.97,33,61,0.999866323,10.79,Sessile
19.1707301,39.91889453,1.26,64,83,0.998642688,19,Sessile
18.8942803,36.72116667,1.01,45,80,0.998793415,16.6,Sessile
19.38338378,33.50990236,1.47,87,59,0.998793415,16.06,Sessile
10.09270339,32.5198772,1.24,63,62,0.999099418,6.91,Sessile
15.59621586,23.07352769,1.12,60,64,0.999693998,8.37,Sessile
15.01597333,20.63935297,0.83,15,36,0.999827675,3.79,Sessile
13.4334937,18.67617725,1.07,49,90,0.980826425,8.15,Sessile
13.69724031,15.00793249,1.95,65,59,0.998793415,9.53,Rowan
13.24887108,12.91507787,1.6,57,38,0.998729623,8.27,Rowan
12.81478898,10.70206393,1.79,38,63,0.998729623,9.31,Rowan
13.65427161,8.537109147,2.5,150,122,0.998729623,17.1,Rowan
13.78144955,6.442274356,2.34,130,125,0.998927093,14.45,Rowan
13.71622554,4.20719958,2.62,197,153,0.990452137,16.35,Rowan
14.8282038,2.296429771,-0.05,-10,-10,0.998793415,4.73,Rowan
12.59602297,58.69879189,1.75,84,107,1,26.05,Rowan
12.94033945,55.97533305,1.55,55,46,1,17.62,Rowan
13.48577159,53.31239552,1.26,61,39,0.999866323,13.31,Rowan
14.56091411,50.64945799,1.26,63,92,0.999827675,15.21,Sessile
13.31892939,47.20983035,1.61,90,96,0.999693998,26.6,Downy Birch
16.35306871,39.52869489,1.57,89,78,0.999693998,18.53,Sessile
16.18294576,37.29656326,1.05,38,46,0.998927093,10.93,Sessile
17.10798931,35.10161923,1.36,93,79,0.990452137,17.53,Sessile
16.48066092,32.55615038,1.21,67,33,0.998927093,12.94,Sessile
11.45539417,30.81420197,1.06,64,47,0.998927093,6.21,Sessile
14.67310274,25.80347332,0.96,38,44,0.990452137,5.59,Sessile
12.85325118,24.42337038,0.84,22,24,0.998793415,5.31,Holly
11.2795631,22.70740901,0.76,32,35,0.998965741,5.6,Holly
16.78774103,11.66621383,0.55,9,22,0.999630205,4.5,Holly
13.975326,11.10525389,0.59,22,22,0.999630205,6.37,Holly
